GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order_service,com.easyride.order_service.util,IdempotencyService,18,0,0,0,5,0,4,0,4,0
order_service,com.easyride.order_service.util,DistanceCalculator,3,54,0,0,1,8,1,1,1,1
order_service,com.easyride.order_service.exception,GlobalExceptionHandler,30,0,0,0,5,0,4,0,4,0
order_service,com.easyride.order_service.exception,OrderServiceException,0,4,0,0,0,2,0,1,0,1
order_service,com.easyride.order_service.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
order_service,com.easyride.order_service.exception,PricingException,5,4,0,0,2,2,1,1,1,1
order_service,com.easyride.order_service.interceptor,SignatureVerificationInterceptor,119,0,16,0,32,0,11,0,3,0
order_service,com.easyride.order_service.security,JwtAuthenticationFilter,72,0,8,0,19,0,7,0,3,0
order_service,com.easyride.order_service.security,OrderDetailServiceImpl,43,0,0,0,9,0,5,0,5,0
order_service,com.easyride.order_service.security,JwtTokenProvider,72,0,0,0,26,0,4,0,4,0
order_service,com.easyride.order_service.security,OrderDetailsImpl,55,0,0,0,20,0,10,0,10,0
order_service,com.easyride.order_service.dto,OrderEventDto,28,0,0,0,10,0,1,0,1,0
order_service,com.easyride.order_service.dto,ApiResponse,44,0,0,0,10,0,5,0,5,0
order_service,com.easyride.order_service.service,PricingServiceImpl,63,445,17,40,11,99,17,18,0,5
order_service,com.easyride.order_service.service,OrderServiceImpl,112,692,10,24,13,180,16,22,8,13
order_service,com.easyride.order_service.rocket,PaymentServiceEventConsumer,29,0,0,0,7,0,3,0,3,0
order_service,com.easyride.order_service.rocket,UserRocketConsumer,147,0,6,0,33,0,9,0,6,0
order_service,com.easyride.order_service.rocket,OrderEventProducer,41,4,0,0,11,1,4,1,4,1
order_service,com.easyride.order_service.rocket,MatchingServiceEventConsumer,62,0,4,0,15,0,5,0,3,0
order_service,com.easyride.order_service.controller,OrderController,94,0,0,0,23,0,7,0,7,0
order_service,com.easyride.order_service.model,VehicleType,0,34,0,0,0,4,0,1,0,1
order_service,com.easyride.order_service.model,Role,34,0,0,0,4,0,1,0,1,0
order_service,com.easyride.order_service.model,ServiceType,0,84,0,0,0,9,0,1,0,1
order_service,com.easyride.order_service.model,Order,14,0,2,0,5,0,3,0,2,0
order_service,com.easyride.order_service.model,OrderStatus,0,124,0,0,0,13,0,1,0,1
order_service,com.easyride.order_service.model,PaymentMethod,0,34,0,0,0,4,0,1,0,1
order_service,com.easyride.order_service.config,WebMvcConfig,19,0,0,0,5,0,2,0,2,0
order_service,com.easyride.order_service.config,RocketMqConfig,7,0,0,0,2,0,2,0,2,0
order_service,com.easyride.order_service.config,SecurityConfig,56,0,0,0,15,0,6,0,6,0
order_service,com.easyride.order_service,OrderServiceApplication,8,0,0,0,3,0,2,0,2,0
